Archon,Label,Sequence,Source
urn:cite2:chron:archon:11,Chabrias,65,urn:cts:greekLit:tlg0060.tlg001:13.2
urn:cite2:chron:archon:53,Tisandrus,66,urn:cts:greekLit:tlg0060.tlg001:13.7
urn:cite2:chron:archon:58,Cleocritus,67,urn:cts:greekLit:tlg0060.tlg001:13.9
urn:cite2:chron:archon:64,Callias,68,urn:cts:greekLit:tlg0060.tlg001:13.34
urn:cite2:chron:archon:29,Theopompus,69,urn:cts:greekLit:tlg0060.tlg001:13.38
urn:cite2:chron:archon:70,Glaucippus,70,urn:cts:greekLit:tlg0060.tlg001:13.43
urn:cite2:chron:archon:18,Diocles,71,urn:cts:greekLit:tlg0060.tlg001:13.54
urn:cite2:chron:archon:75,Euctemon,72,urn:cts:greekLit:tlg0060.tlg001:13.68
urn:cite2:chron:archon:43,Antigenes,73,urn:cts:greekLit:tlg0060.tlg001:13.76
urn:cite2:chron:archon:37,Callias,74,urn:cts:greekLit:tlg0060.tlg001:13.80
urn:cite2:chron:archon:49,Alexias,75,urn:cts:greekLit:tlg0060.tlg001:13.104
