Ruler,Label,Sequence
urn:cite2:chron:jer_romans:ruler1,Julius Caesar,1
urn:cite2:chron:jer_romans:ruler2,Augustus,2
urn:cite2:chron:jer_romans:ruler3,Tiberius,3
urn:cite2:chron:jer_romans:ruler4,Caligula,4
urn:cite2:chron:jer_romans:ruler5,Claudius,5
urn:cite2:chron:jer_romans:ruler6,Nero,6
urn:cite2:chron:jer_romans:ruler7,Vespasian,7
urn:cite2:chron:jer_romans:ruler8,Titus,8
urn:cite2:chron:jer_romans:ruler9,Domitian,9
urn:cite2:chron:jer_romans:ruler10,Nerva,10
urn:cite2:chron:jer_romans:ruler11,Trajan,11
urn:cite2:chron:jer_romans:ruler12,Hadrian,12
urn:cite2:chron:jer_romans:ruler13,Antoninus Pius,13
urn:cite2:chron:jer_romans:ruler14,Verus and Commodus,14
urn:cite2:chron:jer_romans:ruler15,Commodus,15
urn:cite2:chron:jer_romans:ruler16,Pertinax,16
urn:cite2:chron:jer_romans:ruler17,Septimius Severus,17
urn:cite2:chron:jer_romans:ruler18,Caracalla,18
urn:cite2:chron:jer_romans:ruler19,Macrinus,19
urn:cite2:chron:jer_romans:ruler20,Antoninus,20
urn:cite2:chron:jer_romans:ruler21,Alexander,21
urn:cite2:chron:jer_romans:ruler22,Maximinus,22
urn:cite2:chron:jer_romans:ruler23,Gordian,23
urn:cite2:chron:jer_romans:ruler24,Philip the Arab,24
urn:cite2:chron:jer_romans:ruler25,Decius,25
urn:cite2:chron:jer_romans:ruler26,Gallus and Volusian,26
urn:cite2:chron:jer_romans:ruler27,Valerian and Gallienus,27
urn:cite2:chron:jer_romans:ruler28,Claudius Gothicus,28
urn:cite2:chron:jer_romans:ruler29,Aurelian,29
urn:cite2:chron:jer_romans:ruler30,Tacitus,30
urn:cite2:chron:jer_romans:ruler31,Probus,31
urn:cite2:chron:jer_romans:ruler32,Carus,32
